filename,ingredients
bowl_070.jpg, "Brown Rice, Salad Mix, Lobster Surimi, Ahi Tuna, Salmon, Sliced Onions, Edamame, Shredded Kale, Hijiki Seaweed, Shredded Nori, Garlic Crisps, Onion Crisps"
bowl_090.jpg, "White Rice, Salad Mix, Spicy Salmon, Cucumber, Sweet Corn, Edamame, Avocado, Wonton Crisps, Garlic Crisps, Onion Crisps"
bowl_095.jpg, "Salad Mix, Tofu, Ahi Tuna, Cucumnber, Sweet Corn, Edamame, Mango, Cilantro, Surimi Salad, Seaweed Salad, Garlic Crisps, Onion Crisps"
bowl_107.jpg, "White Rice, Tofu, Cucumber, Edamame, Mango, Mandarin Oranges, Hijki Seaweed, Wonton Crisps"
bowl_117.jpg, "Brown Rice, Lobster Surimi, Ahi Tuna, Salmon, Cucumber, Shredded Kale, Pineapple, Serrano Peppers, Surimi Salad, Seaweed Salad, Green Salad, Spicy Furikake, Chilli Crisp, Onion Crisps"
bowl_143.jpg, "Salad Mix, Chicken, Sliced Onions, Edamame, Avocado, Sesame Seeds, Wonton Crisp, Shredded Nori, Garlic Crisps, Onion Crisps"
bowl_159.jpg, "White Rice, Ahi Tuna, Salmon, Surimi Salad, Soft Tofu"
bowl_172.jpg, "Brown Rice, Salad Mix, Ahi Tuna, Salmon, Shrimp, Cucumber, Sweet Corn, Edamame, Mango, Hijiki Seaweed, Pickled Ginger, Wasabi, Sesame Seeds, Shredded Nori"
bowl_183.jpg, "White Rice, Cucumber, Sliced Onion, Cabbage, Mandarin Orange, Hijiki Seaweed, Sesame Seeds, Onion Crisps"
PHOTO-2025-07-21-11-44-48.jpg, "White Rice, Salmon, Cucumber, Sweet Corn, Edamame, Seaweed Salad"
PHOTO-2025-07-21-11-44-48 3.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Edamame, Mango, Seaweed Salad, Sesame Seeds"
PHOTO-2025-07-21-11-44-48 2.jpg, "White Rice, Shrimp, Salmon, Cucumber, Pineapple, Surimi Salad, Green Onion, Wonton Crisps"
PHOTO-2025-07-21-11-44-48 2.jpg, "Ahi Tuna, Salmon, Cucumber, Sliced Onions, Cabbage, Shredded Kale, Mango, Hijiki Seaweed, Cilantro, Serrano Peppers, Surimi Salad, Seaweed Salad, Soft Tofu, Wasabi, Sesame Seeds, Shredded Nori, Garlic Crisps"
PHOTO-2025-07-21-11-44-46 2.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Sweet Corn, Edamame, Green Onion, Sesame Seeds"
PHOTO-2025-07-21-11-44-42.jpg, "White Rice, Salad Mix, Spicy Salmon, Sliced Onions, Sweet Corn, Mango, Surimi Salad, Seaweed Salad, Green Onion, Garlic Crisps"
PHOTO-2025-07-21-11-44-42 6.jpg, "Brown Rice, Salad Mix, Lobster Surimi, Cucumber, Sliced Onions, Edamame, Avocado, Surimi Salad, Seaweed Salad, Pickled Ginger, Green Onion, Soft Tofu, Chili Crisp, Garlic Crisps"
PHOTO-2025-07-21-11-44-42 5.jpg, "White Rice, Salmon, Sweet Corn, Cilantro, Green Onion, Garlic Crisps, Onion Crisps"
PHOTO-2025-07-21-11-44-42 4.jpg, "White Rice, Salad Mix, Salmon, Cucumber, Sweet Corn, Cabbage, Edamame, Shredded Kale, Hijiki Seaweed, Cilantro, Surimi Salad, Seaweed Salad, Pickled Ginger, Soft Tofu, Sesame Seeds, Wonton Crisps, Shredded Nori, Garlic Crisps"
PHOTO-2025-07-21-11-44-42 3.jpg, "White Rice, Cucumber, Sliced Onions, Hijiki Seaweed, Seaweed Salad, Green Onion, Sesame Seeds, Chili Flakes"
PHOTO-2025-07-21-11-44-42 2.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Sweet Corn, Edamame, Seaweeed Salad, Pickled Ginger, Green Onion, Shredded Nori, Garlic Crisps"
PHOTO-2025-07-21-11-44-41.jpg, "Brown Rice, Chili Crisp Shrimp, Cucumber, Seaweed Salad, Green Onion, Sesame Seeds, Wonton Crisps, Onion Crisps"
PHOTO-2025-07-21-11-44-41 5.jpg, "White Rice, Ahi Tuna, Salmon, Hijiki Seaweed, Surimi Salad, Seaweed Salad, Masago, Wasabi, Shreded Nori"
PHOTO-2025-07-21-11-44-41 4.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Sliced Onions, Edamame, Mango, Cilantro, Serrano Peppers, Pickled Ginger, Green Onion"
PHOTO-2025-07-21-11-44-41 3.jpg, "White Rice, Ahi Tuna, Sliced Onions, Edamame, Cilantro, Avocado, Surimi Salad, Green Onion, Wonton Crisps, Onion Crisps"
PHOTO-2025-07-21-11-44-41 2.jpg, "White Rice, Salmon, Cucumber, Sliced Onions, Sweet Corn, Edamame, Cilantro"
PHOTO-2025-07-21-11-44-40.jpg, "White Rice, Ahi Tuna, Salmon, Pickled Ginger, Green Onion, Wasabi, Onion Crisps"
PHOTO-2025-07-21-11-44-39 3.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Sweet Corn, Cilantro, Surimi Salad, Pickled Ginger, Green Onion"
PHOTO-2025-07-21-11-44-39 2.jpg, "White Rice, Shrimp, Cucumber, Sliced Onions, Cilantro, Surimi Salad, Green Onion, Wonton Crisps, Onion Crisps"
PHOTO-2025-07-19-13-29-06 6.jpg, "White Rice, Ahi Tuna, Salmon, Edamame, Avocado, Wonton Crisps, Onion Crisps"
PHOTO-2025-07-19-13-29-05 2.jpg, "White Rice, Ahi Tuna, Salmon, Cucumber, Sweet Corn, Pineapple, Onion Crisps"
PHOTO-2025-07-18-06-17-04.jpg, "White Rice, Spicy Tuna, Spicy Salmon, Cucumber, Edamame, Shredded Kale, Serrano Peppers, Surimi Salad, Seaweed Salad, Green Onion, Soft Tofu, Sesame Seeds, Shredded Nori, Garlic Crisps, Onion Crisps"
PHOTO-2025-07-18-06-17-04 6.jpg, "White Rice, Salmon, Cucumber, Sweet Corn, Edamame, Shredded Kale, Avocado, Surimi Salad, Seaweed Salad, Spicy Furikake, Shredded Nori, Onion Crisps"
PHOTO-2025-07-18-06-17-04 2.jpg, "White Rice, Spicy Tuna, Edamame, Avocado, Seaweed Salad, Sesame Seeds"
PHOTO-2025-07-18-06-17-03 6.jpg, "White Rice, Lobster Surimi, Spicy Salmon, Hijiki Seaweed, Avocado, Surimi Salad, Wonton Crisps, Shredded Nori"
